time,a_x,a_z,a_y,g_x
2021-01-31T16:27:32.608435385Z,-0.185444,10.442278,-0.987039,2340.625
2021-01-31T16:27:32.624435780Z,-0.128016,10.022337,-0.859023,2345
2021-01-31T16:27:32.640499923Z,-0.320638,9.736395,-0.844666,1951.25
2021-01-31T16:27:32.656626095Z,-0.163908,9.822537,-0.875773,2345
2021-01-31T16:27:32.672679718Z,-0.197408,10.240085,-0.958325,2690.625
2021-01-31T16:27:32.688686518Z,-0.195015,9.967302,-0.786042,2528.75
2021-01-31T16:27:32.704686600Z,-0.050249,10.357333,-1.054038,2515.625
2021-01-31T16:27:32.720686839Z,-0.017946,8.394022,-1.822134,1631.875
2021-01-31T16:27:32.736727701Z,0.570688,9.881162,-0.689133,1146.25
2021-01-31T16:27:32.752722158Z,-0.532403,11.029716,-0.556331,2979.375
2021-01-31T16:27:32.768719584Z,-0.48335,9.369097,-0.245264,1251.25
2021-01-31T16:27:32.784718728Z,-0.144766,10.26162,-0.701097,665
2021-01-31T16:27:32.800711310Z,-0.4666,9.840484,-0.605384,3145.625
2021-01-31T16:27:32.816734256Z,-0.18664,10.302298,-0.967897,1373.75
2021-01-31T16:27:32.832731786Z,0.100499,10.406385,-0.589831,2629.375
2021-01-31T16:27:32.848728639Z,-0.753739,10.770095,-1.333999,4230.625
2021-01-31T16:27:32.864755023Z,-0.608973,10.987842,-1.036092,1942.5
2021-01-31T16:27:32.880751511Z,0.32662,8.9348,-0.837488,1561.875
2021-01-31T16:27:32.896748260Z,0.17348,10.345367,-1.410569,3985.625
2021-01-31T16:27:32.912747300Z,-0.289532,10.296316,-1.031307,2966.25
2021-01-31T16:27:32.928752382Z,-0.332602,9.777073,-1.115055,2008.125
2021-01-31T16:27:32.944748922Z,0.02991,10.065409,-0.849452,2699.375
2021-01-31T16:27:32.960744994Z,-0.802792,10.053445,-0.930808,3093.125
2021-01-31T16:27:32.976742784Z,-0.117248,8.567502,-0.751346,1903.125
2021-01-31T16:27:32.992735991Z,-0.061017,10.906486,-0.486939,2559.375
2021-01-31T16:27:33.008737167Z,-0.604188,9.84168,-0.752543,1671.25
2021-01-31T16:27:33.024735582Z,-0.116052,10.971091,-0.900898,1045.625
2021-01-31T16:27:33.040733997Z,-0.294317,10.42194,-0.478565,2450
2021-01-31T16:27:33.056734287Z,-0.519243,9.876375,-0.803988,1496.25
2021-01-31T16:27:33.072757701Z,0.227318,10.310673,-1.217947,131.25
2021-01-31T16:27:33.088757314Z,-0.352941,10.609775,-0.31346,2808.75
2021-01-31T16:27:33.104759166Z,-0.191426,10.546366,-0.635294,2598.75
2021-01-31T16:27:33.120759977Z,-0.111266,10.71147,-1.719243,2725.625
2021-01-31T16:27:33.136920315Z,-0.271585,9.008978,-0.48335,3390.625
2021-01-31T16:27:33.152969406Z,0.086142,10.983055,-0.539581,3220
2021-01-31T16:27:33.169050579Z,-0.111266,9.718449,-0.945165,3224.375
2021-01-31T16:27:33.185252635Z,-0.193819,9.803394,-1.068395,2607.5
2021-01-31T16:27:33.201322819Z,-0.116052,10.240085,-0.899701,2900.625
2021-01-31T16:27:33.217409201Z,-0.36012,10.218549,-0.711865,2590
2021-01-31T16:27:33.233408345Z,0.026321,9.570094,-0.971486,2034.375
2021-01-31T16:27:33.249457019Z,-0.084945,10.320245,-0.908076,2940
2021-01-31T16:27:33.265472777Z,-0.12323,10.476974,-0.671187,2611.875
2021-01-31T16:27:33.281470567Z,-0.315853,10.560723,-0.650848,2848.125
2021-01-31T16:27:33.297466118Z,-0.271585,10.222138,-0.898505,2021.25
2021-01-31T16:27:33.313566457Z,-0.204586,10.315458,-0.729811,2318.75
2021-01-31T16:27:33.329566174Z,-0.18664,10.012767,-0.488136,2826.25
2021-01-31T16:27:33.345565475Z,-0.230907,9.938589,-0.66999,2778.125
2021-01-31T16:27:33.361562067Z,-0.215354,9.724431,-0.87338,2533.125
2021-01-31T16:27:33.377566679Z,-0.226122,9.970891,-0.758525,2760.625
2021-01-31T16:27:33.393560511Z,-0.391227,10.03191,-0.7334,2830.625
2021-01-31T16:27:33.409560697Z,-0.129212,9.783055,-0.677169,2590
2021-01-31T16:27:33.425558435Z,-0.174676,10.079765,-0.740579,2625
2021-01-31T16:27:33.441557110Z,-0.190229,10.171888,-0.696311,2638.125
2021-01-31T16:27:33.457567087Z,-0.348156,10.078569,-0.825524,2218.125
2021-01-31T16:27:33.473565190Z,-0.26321,9.893126,-0.600598,2174.375
2021-01-31T16:27:33.489585948Z,-0.34337,9.80818,-0.448654,1260
2021-01-31T16:27:33.505581446Z,-0.375673,9.60479,-0.57667,2183.125
2021-01-31T16:27:33.521580069Z,-0.198604,9.571291,-0.744168,1951.25
